"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
50,Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
52,Barbados,927,957,990,"1,019",947,"1,078","1,035","1,021","1,090","1,273","1,111","1,102","1,191","1,165","1,154","1,197","1,187","1,053","1,079","1,079","1,179","1,227","1,345","1,356"
112,Belarus,..,..,..,..,..,"2,030","1,852","1,907","1,729","1,816","4,738","5,276","5,283","5,262","4,872","5,674","5,877","6,130","6,242","5,375","4,386","10,935","11,060","11,502"
56,Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
84,Belize,342,349,305,300,340,374,385,694,999,"1,329","1,037",903,880,846,941,"1,054","1,106","1,028","1,022","1,289","1,299","1,391","1,441","1,697"
204,Benin,580,516,541,575,941,"1,068","1,155",853,850,845,960,975,"1,010","1,027",..,..,222,232,252,265,279,292,307,322
60,Bermuda,557,570,562,558,549,539,458,484,483,478,517,635,660,550,554,580,652,610,576,580,597,642,688,766
64,Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
68,"Bolivia, Plurinational State Of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
534,Bonaire,70,80,86,85,78,96,94,94,107,116,103,126,172,250,280,297,..,..,..,..,..,..,..,..
70,Bosnia And Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
72,Botswana,636,656,765,940,"1,039","1,306","1,451","1,485","1,592","1,727","1,684","1,642","1,965","2,344",..,..,..,..,..,..,"1,660","1,712","1,775",..
76,Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
92,British Virgin Islands,365,412,365,392,484,519,535,544,614,813,821,825,948,934,857,842,831,753,742,773,922,"1,124",..,..
96,Brunei Darussalam,498,837,643,964,967,984,840,891,944,..,815,836,877,..,..,..,..,..,..,..,..,..,"4,316","4,521"
