"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
580,Northern Mariana Islands,676,736,695,490,502,529,444,476,459,536,507,436,389,397,354,379,341,401,439,460,479,531,660,518
578,Norway,..,..,..,"5,045","5,123","5,121","5,115","4,543","4,686","5,130","5,418","5,738","6,017","6,054","6,114","6,578","6,693",..,..,..,..,..,..,..
512,Oman,..,..,..,..,..,..,"1,095","1,112","1,210","1,407","1,101","1,385","1,360","1,540","1,584","1,500","1,393","1,714","1,923","2,225","2,634","3,207","3,178","3,242"
586,Pakistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
585,Palau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
591,Panama,417,443,504,529,555,600,737,800,897,"1,004","1,070","1,215","1,428","1,575","1,562","1,726","2,004","2,086","2,202","2,305","2,553","2,379","2,517","2,487"
598,Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,120,126,146,165,175,182,191,199,198,182,195
600,Paraguay,"15,678","12,868","10,955","9,818","6,569","3,924","3,550","3,194","2,859","2,589","2,648","2,830","3,005","3,118","3,183","3,171","3,365","3,655","3,538","3,455","4,102","4,318","4,744","4,183"
604,Peru,..,..,..,..,..,..,..,..,..,"1,650","1,938","2,227","2,451","2,581","2,681","2,948","3,299","3,642","4,010","4,062","4,381","4,718","4,992","5,384"
608,Philippines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
616,Poland,"82,244","87,439","87,817","88,592","89,118","84,515","61,431","50,735","52,130","61,918","64,606","65,115","66,208","59,935","53,840","58,340","60,745","67,390","72,310","73,750","77,743","80,476","83,804","85,946"
620,Portugal,"23,066","23,252","24,244","26,560","27,016","28,014","28,150","27,194","27,532","21,165","21,173","22,588",..,..,..,..,..,..,..,..,..,..,..,..
630,Puerto Rico,"4,087","4,110","4,350","4,671","4,221","4,566","4,908","4,364","4,402","4,889","5,073","5,022","5,062","5,213","4,415","4,379","4,214","4,197","4,210","4,456","5,051","5,077","4,986","4,306"
634,Qatar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
638,Reunion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,551,574
642,Romania,"5,445","5,205","5,149","4,831","5,224","5,264","4,938","4,794","5,595","6,600","5,839","6,037","7,722","8,862","7,575","7,498","7,611","7,937","8,019","8,442","9,331","10,223","10,926","11,720"
643,Russian Federation,"10,290","16,208","17,463","16,188","18,820","21,169","21,595","23,309","22,521","22,064","22,201","22,486","22,909","23,676","21,339","22,281","24,932","28,177","30,792","32,421","33,729","24,571","24,390","24,551"
646,Rwanda,..,..,..,..,..,..,..,..,..,..,..,531,610,669,663,666,908,"1,061","1,122","1,220","1,298","1,307",..,..
461,Saba,25,24,29,25,24,24,24,22,21,23,25,23,22,23,24,23,..,..,..,..,..,..,..,..
659,Saint Kitts And Nevis,203,172,194,250,226,247,334,240,247,383,365,350,379,533,548,624,723,666,695,818,"1,036","1,055","1,194","1,278"
662,Saint Lucia,407,422,563,629,666,727,747,648,683,791,720,670,905,925,982,984,950,889,921,987,"1,031",948,"1,064","1,165"
670,Saint Vincent And The Grenadines,218,216,200,202,223,256,254,247,242,262,256,306,328,250,271,231,208,200,200,205,207,227,303,356
882,Samoa,..,..,..,..,..,..,..,..,..,..,..,116,122,122,129,130,128,135,125,132,139,146,158,172
674,San Marino,"3,368","3,345","3,308","3,264","3,148","3,071","3,036","3,102","2,882","2,812","2,107","2,136","2,164","2,112","2,056","1,976","2,038","1,869","1,905","2,004","1,888","2,000","1,937","1,874"
678,Sao Tome And Principe,..,..,..,..,..,..,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
682,Saudi Arabia,"4,398",..,..,..,..,..,..,..,..,"11,083","10,417","10,962","13,479","17,717","13,319","13,025","15,776","19,847","19,934","23,010","21,834","20,887","18,607","17,570"
686,Senegal,..,..,..,..,..,..,..,..,502,677,779,876,879,877,815,906,977,967,"1,069",976,"1,014","1,219","1,376",..
688,Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
690,Seychelles,127,142,136,134,130,140,138,135,127,126,135,151,171,173,178,191,210,216,237,239,296,333,382,405
694,Sierra Leone,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,95,53,31,60,59,66
702,Singapore,"7,137","7,292","7,198","6,242","6,958","7,691","7,522","7,567","6,127","8,329","8,943","9,751","10,285","10,116","9,683","11,642","13,171","14,496","15,568","15,095","15,231","16,403","17,425","18,508"
658,Sint Eustatius,25,24,25,25,25,27,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
663,Sint Maarten (Dutch Part),"1,024","1,022","1,325","1,339","1,061","1,300","1,271","1,436","1,600","1,823","1,956","1,890","1,891","1,821","1,655","1,956","2,080","2,210","2,253","2,502","2,407","2,197","1,640","1,775"
703,Slovakia,..,..,..,..,..,..,..,..,"13,806","14,334","16,849","17,781","18,975","19,205","13,428","12,216","18,228","20,375","19,989","17,400","21,550","23,092",..,..
705,Slovenia,"63,674","71,876","76,568","65,587","60,009","63,580","61,878","60,031","59,388","63,013","60,230","58,274","61,293",..,..,..,..,..,..,..,..,..,..,..
90,Solomon Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
706,Somalia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
710,South Africa,"4,684","5,186","5,170","5,898","6,026","6,001","5,908","6,550","6,640","6,815","7,518","8,509","9,208","9,729","9,532","11,303","12,097","13,069","14,318","14,530","13,952","15,121","14,975","15,004"
728,South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
724,Spain,"52,460","55,077","62,415","68,068","72,040","74,580","75,564","79,313","82,326","85,981","92,563","96,152","98,907","97,670","91,899","93,744","99,187","98,128","103,231","107,144","109,834","115,561","121,717","124,060"
144,Sri Lanka,414,315,384,409,465,445,397,457,583,681,669,689,592,526,538,766,976,"1,133","1,415","1,665","1,993","2,168","2,248","2,521"
275,State Of Palestine,..,795,685,767,907,"1,055",..,..,..,..,..,..,928,"1,487","1,740","2,821","2,730","3,051","2,874","2,907","2,054","2,604","2,919","3,093"
736,Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
740,Suriname,69,74,78,70,72,72,68,..,100,..,..,154,167,151,151,206,221,240,250,253,229,257,279,..
752,Sweden,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"19,405","20,011","18,803","19,945",..,..,..,..
756,Switzerland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
760,Syrian Arab Republic,"2,253","2,435","2,332","2,464","2,682","3,412","3,671","4,678","4,837","6,334","5,859","5,682","5,434","6,951","7,721","10,970","6,476",..,..,..,..,..,..,..
158,Taiwan Province Of China,"2,332","2,358","2,372","2,299","2,411","2,624","2,831","2,978","2,248","2,950","3,378","3,520","3,716","3,845","4,395","5,567","6,087","7,311","8,016","9,910","10,440","10,690","10,740","11,067"
762,Tajikistan,..,1,2,3,5,8,5,..,..,..,..,..,..,325,207,160,183,244,208,213,414,344,431,"1,035"
834,"Tanzania, United Republic Of",295,326,360,482,627,501,525,575,576,583,613,644,719,770,714,783,868,"1,077","1,096","1,140","1,137","1,284","1,327","1,506"
764,Thailand,..,"7,434","7,530","8,204","9,151","10,096","10,751",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
807,The Former Yugoslav Republic Of Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
626,Timor-Leste,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
768,Togo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
776,Tonga,33,31,29,35,44,43,38,45,51,51,60,54,65,65,75,65,68,57,60,66,73,87,87,77
780,Trinidad And Tobago,282,317,360,377,421,503,468,451,474,501,529,534,531,482,534,490,491,504,467,455,519,492,465,501
788,Tunisia,"4,186","3,986","4,392","4,831","5,000","5,244","5,663","5,322","5,492","6,419","6,975","7,176","7,512","7,750","8,507","8,640","6,038",..,..,..,..,..,..,..
792,Turkey,"7,727","8,614","9,689","9,753","7,487","10,428","11,619","13,256","14,030","17,517","21,125","19,820","27,215","31,138","31,760","32,997","36,769","37,715","39,861","41,627","41,114","30,907","37,970","46,113"
795,Turkmenistan,233,282,332,380,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
796,Turks And Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,757,865,899,"1,010",968,"1,069","1,330","1,316","1,296","1,243","1,463"
798,Tuvalu,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
800,Uganda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
804,Ukraine,"6,127","6,750","14,743","12,003","10,990","11,691","11,877","12,793","15,161","18,583","20,489","21,714","26,162","28,827","24,033","24,114","24,535","25,061","26,025","13,227","13,025","13,734","14,579","14,342"
784,United Arab Emirates,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
826,United Kingdom,"23,537","25,163","25,515","25,745","25,394","25,209","22,835","24,180","24,715","27,755","29,970","32,713","32,778","31,888","29,889","29,803","30,798","31,084","32,692","34,377","36,115","37,609","39,214","37,905"
840,United States Of America,"79,732","82,756","82,525","74,767","75,796","78,343","70,975","64,434","62,082","67,606","71,484","183,178","175,299","175,703","160,508","162,275","147,271","171,630","179,310","178,311","176,865","175,261","174,292","169,325"
850,United States Virgin Islands,"1,741","1,779","2,128","2,139","1,964","2,396","2,497","2,337","2,395","2,620","2,602","2,571","2,606","2,435","2,245","2,531","2,686","2,640","2,702","2,814","2,643","2,574","1,967","1,937"
858,Uruguay,"2,177","2,258","2,463","2,324","2,273","2,236","2,136","1,354","1,508","1,871","1,917","1,824","1,815","2,255","2,303","2,708","3,244","3,155","3,242","3,195","3,286","3,632","4,219","3,954"
860,Uzbekistan,92,173,960,811,487,302,345,332,231,262,242,560,903,"1,069","1,215",975,"1,393","1,895","1,969","1,862","1,918","2,027","2,690","5,346"
548,Vanuatu,82,103,81,78,96,106,106,99,102,99,126,154,167,197,226,238,249,321,357,329,287,351,333,350
862,"Venezuela, Bolivarian Republic Of",879,960,933,813,702,602,792,590,435,618,846,883,898,702,567,535,625,"1,061","1,085",967,882,681,429,..
704,Viet Nam,"1,351","1,607","1,716","1,520","1,782","2,140","2,330","2,628","2,429","2,928","3,477","3,583","4,229","4,236","3,747","5,050","6,014","6,848","7,572","7,874","7,944","10,013","12,922","15,498"
886,Yemen,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,035","1,175","1,282","1,323","1,218",398,..,..,..
894,Zambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
716,Zimbabwe,"1,416","1,597","1,336","2,090","2,250","1,967","2,217","2,041","2,256","1,854","1,559","2,287","2,506","1,956","2,017","2,239","2,423","1,794","1,833","1,880","2,057","2,168","2,423","2,580"
